,,,,,,,,,,,
ID,Окружение,Серьезность,Приоритет,Название,Предусловия,Шаги воспроизведения,Ожидаемый результат,Актуальный результат,Приложения,Тестировщик,Комментарий
1,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Minor,Low,"Не кликабелен 2й бокс раздела "" Часто задаваемые вопросы "" под заголовком "" Заказы ""","1. Открыта страница "" Часто задаваемые вопросы "" сайта "" https://test.qa.studio/ "" 2. Обратить внимание на раздел "" Заказы ""","1. Нажать на второй бокс с названием "" Можно ли поставить доп.фурнитуру? """,Снизу от названия бокса всплывает параграф с тестом,"Бокс с названием "" Можно ли поставить доп.фурнитуру? "" не кликабелен",https://drive.google.com/file/d/1Dz-PbpD1PMyQdmWyBZeVR1eYjhYB5t7P/view?usp=sharing,Сибирякова Анастасия,
2,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Minor,Low,Кнопка “ Купить сейчас “ не кликабельна на втором банере в карусели сайта,"1. Открыта главная страница сайта https://test.qa.studio/ 
2. В карусели сайта нажать на вторую иконку точки",1. Нажать кнопку “ Купить сейчас “,Система отображает страницу с описанием товара,Кнопка “ Купить сейчас “ не кликабельна,https://drive.google.com/file/d/1_nsklEeJzSCk_ZYaxf7hCw9KBhQE7wLc/view?usp=sharing,Сибирякова Анастасия,
3,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Minor,Low,"Иконка "" YouTube "" не перенаправляет на сайт YouTube","1. Открыта главная страница сайта "" https://test.qa.studio/ "" 2. Прокрутить вниз страницы","1. В футоре страницы нажать на иконку "" YouTube """,Система перенаправляет на страницу в YouTube,Система обновляет главную страницу,,Сибирякова Анастасия,
4,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Major ,Medium,Невозможен поиск товара по категориям,"1. Нажать на иконку лупы в шапке сайта 2. Нажать на раздел с названием "" Все категории ""","1. Выбрать категорию товара "" Кресло """,Система отображает товары данной категории,Система не отображает товары выбранной категории,https://drive.google.com/file/d/1OkTiT5Ai1eOWVHxllPVmBklIog7jzswB/view?usp=sharing,Сибирякова Анастасия,Поиск товара невозможен при выборе любой категории из списка
5,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Major ,Medium,"Иконка ""корзина"" товара "" СИДНИ Тумба под TV "" не отправляет товар в корзину","1. Прокрутить каталог на товар с названием "" СИДНИ Тумба под TV "" ","1. Кликнуть на иконку "" Корзина """,Система отправляет товар в корзину,Система открывает описание товара,https://drive.google.com/file/d/14fAcXJAncD8EV0Cph1zaT0Ya59HgoUdD/view?usp=sharing,Сибирякова Анастасия,
6,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Minor,Low,"Иконка корзина товара "" СИДНИ Тумба под TV "" отображается как "" Подробнее"" ","1. Прокрутить каталог на товар с названием "" СИДНИ Тумба под TV "" ","1. Навести курсор мышки на иконку корзины товара "" СИДНИ Тумба под TV ""","Сверхку подствечивается название иконки "" Корзина ""","Сверху подсвечивается название иконки "" Подробнее """,https://drive.google.com/file/d/1J2T48wFC5JC7Gtn91m-ppkyC4JOKKtg3/view?usp=sharing,Сибирякова Анастасия,
7,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Minor,Low,"Ссылка в футоре сайта с названием "" Политика конфиденциальности "" не кликабельна","1. Открыта главная страница сайта "" https://test.qa.studio/ "" 2. Прокрутить сайт до футора","1. Нажать на ссылку с названием "" Политика конфиденциальности "" ","Система открывает страницу с описанием раздела "" Политика конфиденциальности ""","Ссылка с названием "" Политика конфиденциальности "" не кликабельна",https://drive.google.com/file/d/1TIFTcxZUhEOZ-gvljynZNETivJWFZOf2/view?usp=sharing,Сибирякова Анастасия,
8,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Minor,Low,"Кнопка "" Отправить сообщение "" в разделе "" Контакты "" не кликабельна","1.  Нажать на раздел "" Контакты "" в шапке сайта 2. Заполнить анкету","1. Нажать на кнопку "" Отправить сообщение """,Система отправляет сообщение ,"Кнопка "" Отправить сообщение "" не кликабельна",https://drive.google.com/file/d/1FzEIcR9mDztZFR33O89YfQS6wSHOYv4g/view?usp=sharing,Сибирякова Анастасия,
9,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Major ,Medium,"Кнопка "" + "" в корзине не кликабельна на первом товаре в списке","1. Добавить товар "" АЙША Барный стул ""в корзину на сайте "" https://test.qa.studio/ "" 2. Открыть Корзину ","1. Нажать кнопку "" + "" возле обозначения количества, на первом товаре в списке",Система увеличивает число товара,"Кнопка "" + "" не кликабельна",https://drive.google.com/file/d/1ydppGrje2iIfQmXxOcfqdhODu4Wg-EhI/view?usp=sharing,Сибирякова Анастасия,Какой именно товар стоит первый в списке заказов не имеет значения
10,"Windows 10, Google Chrome
Version 102.0.5005.61 (64-bit)
 
 ",Major ,Medium,"Кнопка "" Продолжить покупки "" в разделе "" Корзина "" не кликабельна","1. Добавить товар в корзину на сайте "" https://test.qa.studio/ "" 2. Открыть Корзину ","1. Нажать на кнопку  "" Продолжить покупки """,Система откроет каталог с товарами," Кнопка  "" Продолжить покупки "" не кликабельна",https://drive.google.com/file/d/1ttSPzGbhBZLqWdBkcdBA18o0yEFGexHl/view?usp=sharing,Сибирякова Анастасия,